"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","totaltime_m","pretty_condition"
"66SXG","SGC4B","1112","wi22sona","2218","29507","sona","asynch","TRUE","I tried my best on most questions",4,4,2,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,689,"Mac OS","2022-03-09T21:09:56.796Z","success","winter22",1,10.193,"arrow"
"DUTP2","SGC4B","1113","wi22sona","2218","37770","sona","asynch","TRUE","I tried my best on each question",1,4,3,"",22,"U.S.","English","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",2560,1289,"Windows 10","2022-03-09T21:36:55.792Z","success","winter22",1,5.00326666666667,"cross"
"AT0BC","SGC4B","1113","wi22sona","2217","41344","sona","asynch","TRUE","I tried my best on each question",4,3,2,"provide horizontal lines to check time and shifts easier",19,"Vietnam","X-Other","First","Social Sciences (incl. CogSci)","Female","no","chrome",1437,710,"Mac OS","2022-03-04T04:15:45.702Z","success","winter22",1,8.0362,"cross"
"QMXO5","SGC4B","1112","wi22sona","2217","38359","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",23,"United States of America","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,776,"Mac OS","2022-03-04T04:04:22.330Z","success","winter22",1,13.19515,"arrow"
"4U13Q","SGC4B","1113","wi22sona","2217","42891","sona","asynch","TRUE","I tried my best on each question",4,2,3,"I was a bit confused with the set up of the graph and thought a legend would be helpful but overall it was a good experiment set up.",20,"United States","X-Other","Third","Biomedical & Health Sciences","Female","no","chrome",1440,789,"Mac OS","2022-03-05T21:08:17.545Z","success","winter22",1,7.6794,"cross"
"0XJM4","SGC4B","1113","wi22sona","2218","40432","sona","asynch","TRUE","I tried my best on each question",4,3,5,"",25,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1277,721,"Mac OS","2022-03-09T09:52:55.320Z","success","winter22",1,8.83495,"cross"
"47M5Q","SGC4B","1112","wi22sona","2217","43138","sona","asynch","TRUE","I tried my best on each question",2,4,3,"It was confusing at first but then I got a hang for it after. The hardest one was probably the one that was like begins before B then ends after X or something like that, which was kind of just confusing because there were so many parts.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1200,697,"Windows 10","2022-03-05T01:35:02.890Z","success","winter22",1,8.33338333333333,"arrow"
"S4H5D","SGC4B","1112","wi22sona","2217","41059","sona","asynch","TRUE","I tried my best on each question",2,5,3,"The graph was easy to read except for questions which revolved around a letter (in my case B) which started and ended on the half hour mark and had no lines connecting to it.",18,"America","English","First","Engineering","Male","No.","chrome",1440,821,"Mac OS","2022-03-06T03:15:58.325Z","success","winter22",1,18.6080666666667,"arrow"
"J100R","SGC4B","1112","wi22sona","2218","42690","sona","asynch","TRUE","I tried my best on most questions",4,2,3,"I felt like I was guessing on all of the questions because I had no idea how to read the graph, I just went with the shifts starting at the plot point. ",19,"United States","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-03-09T20:28:18.306Z","success","winter22",1,14.4217333333333,"arrow"
"P76NE","SGC4B","1112","wi22sona","2218","40985","sona","asynch","TRUE","I tried my best on most questions",5,2,4,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1600,812,"Chrome OS","2022-03-09T19:58:12.935Z","success","winter22",1,9.01541666666667,"arrow"
"O07CQ","SGC4B","1113","wi22sona","2217","42562","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",19,"United States","Mandarin","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-03T20:36:33.638Z","success","winter22",1,9.0455,"cross"
"K7M4V","SGC4B","1112","wi22sona","2217","42562","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",19,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-04T22:07:18.680Z","success","winter22",1,7.05208333333333,"arrow"
