"subject","mode","condition","question","score","pretty_condition"
"6B6X6","asynch","11115",1,0,"click-point"
"6B6X6","asynch","11115",2,0,"click-point"
"6B6X6","asynch","11115",3,1,"click-point"
"6B6X6","asynch","11115",4,1,"click-point"
"6B6X6","asynch","11115",5,2,"click-point"
"6B6X6","asynch","11115",6,2,"click-point"
"6B6X6","asynch","11115",7,2,"click-point"
"6B6X6","asynch","11115",8,2,"click-point"
"6B6X6","asynch","11115",9,2,"click-point"
"6B6X6","asynch","11115",10,2,"click-point"
"6B6X6","asynch","11115",11,2,"click-point"
"6B6X6","asynch","11115",12,2,"click-point"
"6B6X6","asynch","11115",13,2,"click-point"
"Z39WH","asynch","11115",1,0,"click-point"
"Z39WH","asynch","11115",2,0,"click-point"
"Z39WH","asynch","11115",3,0,"click-point"
"Z39WH","asynch","11115",4,0,"click-point"
"Z39WH","asynch","11115",5,1,"click-point"
"Z39WH","asynch","11115",6,1,"click-point"
"Z39WH","asynch","11115",7,1,"click-point"
"Z39WH","asynch","11115",8,2,"click-point"
"Z39WH","asynch","11115",9,2,"click-point"
"Z39WH","asynch","11115",10,2,"click-point"
"Z39WH","asynch","11115",11,3,"click-point"
"Z39WH","asynch","11115",12,3,"click-point"
