"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"2BBZ9","india","fall17","111",0,2,2,5,10,15,"1","1","full",600156,743451,357250,242906,1,"English","Second","Natural Sciences","United States ","Female",19
"V8DLR","lima","fall17","211",4,9,13,1,2,3,"2","1","full",564694,736007,277090,287604,1,"English","Third","Social Sciences (incl. CogSci)","united states","Female",20
"W2WL2","echo","fall17","311",2,4,6,0,5,5,"3","1","full",636786,942894,410119,226667,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","United States","Female",25
"N2UK6","juliet","fall17","111",0,2,2,5,10,15,"1","1","full",562082,719366,272515,289567,1,"English","Fifth","Biomedical & Health Sciences","USA","Female",22
"EN7PB","echo","fall17","111",0,1,1,2,8,10,"1","1","full",435059,710165,214997,220062,1,"English","Third","Biomedical & Health Sciences","USA","Male",19
"GF1FQ","india","fall17","121",0,2,2,0,7,7,"1","2","full",437470,1131157,203163,234307,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Male",21
"6CR5M","lima","fall17","311",5,10,15,0,2,2,"3","1","full",323174,489753,164139,159035,1,"English","Fourth","Social Sciences (incl. CogSci)","US","Female",21
"3OTEP","hotel","fall17","121",5,9,14,0,1,1,"1","2","full",400142,652463,178504,221638,1,"English","Fourth","Natural Sciences","United States of America","Male",21
"XQZYP","lima","fall17","111",1,6,7,2,3,5,"1","1","full",669446,811001,344214,325232,1,"English","Fifth","Biomedical & Health Sciences","USA","Male",22
"7TRHG","juliet","fall17","211",5,9,14,0,1,1,"2","1","full",433362,566091,149981,283381,1,"Mandarin or Cantonese","Fourth","Biomedical & Health Sciences","USA","Female",22
"7K5C9","kilo","fall17","211",4,9,13,1,1,2,"2","1","full",470875,642998,184120,286755,1,"English","Second","Social Sciences (incl. CogSci)","United States","Male",19
"3B1TL","mike","fall17","111",4,10,14,0,2,2,"1","1","full",934728,1230256,531905,402823,1,"English","Second","Humanities","United States","Female",19
"3QO3J","bravo","fall17","111",1,3,4,1,5,6,"1","1","full",226248,472251,84055,142193,1,"English","First","Humanities","USA","Female",18
"EC0K7","lima","fall17","111",0,2,2,5,9,14,"1","1","full",579484,752040,275709,303775,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"FUV6R","delta","fall17","121",3,8,11,0,4,4,"1","2","full",519447,786654,249470,269977,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"QB8G8","hotel","fall17","121",1,2,3,0,7,7,"1","2","full",470728,724943,186201,284527,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","United States","Female",19
"UKWDH","india","fall17","311",4,10,14,0,2,2,"3","1","full",323438,465875,154186,169252,1,"English","Second","Biomedical & Health Sciences","USA","Female",19
"9PGJL","mike","fall17","311",4,10,14,0,2,2,"3","1","full",453452,653809,190424,263028,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",18
"5LHA4","mike","fall17","211",2,8,10,2,1,3,"2","1","full",528348,752986,207223,321125,1,"English","Third","Social Sciences (incl. CogSci)","America","Female",20
"61C10","mike","fall17","211",2,9,11,1,3,4,"2","1","full",295502,469547,123871,171631,1,"English","Second","Biomedical & Health Sciences","USA","Female",19
"0ZCT1","mike","fall17","121",5,10,15,0,2,2,"1","2","full",413795,623923,181417,232378,1,"English","First","Humanities","US","Male",19
"BPUXY","kilo","fall17","321",5,9,14,0,2,2,"3","2","full",282198,431129,107124,175074,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",20
"6G1ZR","lima","fall17","111",0,2,2,5,9,14,"1","1","full",356773,499301,129320,227453,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"AHBMC","bravo","fall17","321",5,8,13,0,3,3,"3","2","full",362624,608794,153859,208765,1,"English","Second","Social Sciences (incl. CogSci)","North America","Male",19
"WDOR4","hotel","fall17","221",5,9,14,0,2,2,"2","2","full",232937,624736,108296,124641,1,"English","Third","Biomedical & Health Sciences","USA","Male",20
"QX48K","echo","fall17","321",5,10,15,0,2,2,"3","2","full",436346,737267,201502,234844,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"KLYG7","golf","fall17","111",0,2,2,1,4,5,"1","1","full",723636,1004294,279611,444025,1,"English","Second","Fine Arts","Vietnam ","Male",18
"9GVF0","foxtrot","fall17","211",2,10,12,1,2,3,"2","1","full",594296,812989,306182,288114,1,"Spanish","First","Engineering","United States","Male",18
"1THJX","mike","fall17","121",0,2,2,0,10,10,"1","2","full",480579,679842,281738,198841,1,"English","Third","Biomedical & Health Sciences","US","Male",20
"PO9J4","kilo","fall17","121",0,2,2,0,10,10,"1","2","full",472205,650309,271869,200336,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"YGEAY","foxtrot","fall17","111",0,3,3,4,8,12,"1","1","full",672669,904374,374312,298357,1,"English","First","Natural Sciences","United States of America","Female",18
"FTCQC","hotel","fall17","211",2,8,10,2,2,4,"2","1","full",448832,783905,144818,304014,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"R0GKA","india","fall17","121",4,8,12,0,1,1,"1","2","full",382053,537640,199677,182376,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"UTZ96","kilo","fall17","311",4,10,14,0,2,2,"3","1","full",619591,787404,301465,318126,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"G0CPA","lima","fall17","111",0,2,2,4,10,14,"1","1","full",398545,553141,171521,227024,1,"English","Fifth","Biomedical & Health Sciences","USA","Male",23
"1FO1D","india","fall17","121",1,6,7,0,4,4,"1","2","full",447254,1110591,264098,183156,1,"English","First","Fine Arts","USA","Male",18
"ASEGP","kilo","fall17","121",0,2,2,0,10,10,"1","2","full",491309,665690,285396,205913,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",21
"6S0HV","lima","fall17","311",5,8,13,0,3,3,"3","1","full",602883,782290,293303,309580,1,"Other","Third","Engineering","China","Female",20
"FD7Z1","kilo","fall17","321",1,8,9,0,2,2,"3","2","full",412516,553891,244491,168025,1,"English","Third","Biomedical & Health Sciences","United States of America","Male",20
"Y53PP","lima","fall17","321",5,8,13,0,2,2,"3","2","full",435933,641834,201072,234861,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"OTVZR","golf","fall17","121",2,5,7,0,2,2,"1","2","full",621377,892668,332661,288716,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"33WRC","lima","fall17","321",5,10,15,0,2,2,"3","2","full",367163,510255,147696,219467,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
