"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"VO9EL","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"F",FALSE,107.353,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,17.811,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,11.981,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,16.653,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,22.933,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,22.867,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,11.703,2,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,15.15,2,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,37.135,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,15.407,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,45.024,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,18.89,2,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,5.505,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,18.199,2,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,55.217,1,"Orth-Full","online-replication"
"XTF1P","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"X",FALSE,58.692,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,8.476,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,11.523,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,18.055,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,43.275,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"K",FALSE,5.521,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,12.602,2,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,36.275,2,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,34.974,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,17.948,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,23.091,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) start at 12pm?",11,"M",FALSE,10.406,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,10.474,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"FX",FALSE,59.158,2,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Which shift(s) end at 3pm?",14,"B",FALSE,21.344,1,"Orth-Full","online-replication"
"HMOWY","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,55.769,2,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,24.098,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,10.584,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) begin when C ends?",3,"A",FALSE,12.647,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"DE",FALSE,14.454,2,"Orth-Full","online-replication"
