"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"60VNG","121","fall21","asynch","Female",28,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4892833333333,"impasse",-0.272514005602241,5.37450980392157,-0.510504201680672,1.5,0,0,0,-8.5,6.12781666666667,28.2822307692308,8.778,55.465,0,5,0,2,6,0,3,3,0,"Satisfice",33.011,0,"blank",55.465,0,"Orthogonal",16.916,0,"?",29.354,0,156.459,0,211.21
"67NP2","121","spring18","lab-synch","Male",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",14.1253333333333,"impasse",5.73224789915966,4.4875,3.12615815556992,0.620879120879121,0,5,5,-0.5,10.4259166666667,48.1196153846154,9.141,109.821,6,6,0,0,1,0,1,0,1,"Triangular",43.318,1,"Triangular",45.179,0,"Orthogonal",18.966,1,"Triangular",21.582,4,281.681,1,343.874
"694WT","111","fall21","asynch","Female",20,"Mandarin or Cantonese","Third","Taiwan ","NULL","NULL","NULL","NULL","NULL","NULL",29.49675,"control",-0.385584268672504,9.83974358974359,0.412572721396251,0,0,0,0,-10.5,22.9039333333333,105.710461538462,9.797,289.179,0,10,1,0,2,1,2,0,0,"Orthogonal",27.273,0,"?",289.179,0,"Orthogonal",41.031,0,"Orthogonal",74.222,0,747.312,0,626.924
"6G1ZR","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.32168333333333,"control",-0.514750935339171,11.9375,-0.146250808015514,0,0,0,0,-12.5,5.4033,24.9383076923077,10.544,39.796,0,12,0,0,1,0,1,0,0,"Orthogonal",30.915,0,"Orthogonal",39.796,0,"Orthogonal",26.394,0,"Orthogonal",38.669,0,129.32,0,194.878
"6HUZT","121","winter22","asynch","Female",18,"Spanish","First","USA","I tried my best on each question","3","3","4","n/a","none",18.8906166666667,"impasse",12,-0.208823529411765,6.50641025641026,0.769230769230769,0,12,12,12,14.2154333333333,65.6096923076923,9.776,531.518,12,0,0,0,1,0,0,1,0,"blank",43.676,1,"Triangular",14.441,1,"Triangular",37.76,1,"Triangular",13.006,4,613.239,8,239.687
"6MWHZ","121","spring18","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2771666666667,"impasse",8.44363553113553,0.357843137254902,6.53113553113553,-0.0402930402930403,0,8,8,6.5,10.0275166666667,46.2808461538462,6.442,118.961,8,1,2,1,1,2,1,0,0,"Tversky",79.982,1,"Triangular",36.881,0,"Orthogonal",76.075,1,"Triangular",44.144,3,307.556,5,294.095
"6VLV8","121","fall21","asynch","Female",19,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",9.54406666666667,"impasse",-0.794675177763413,5.93333333333333,-0.0159987071751778,0.346153846153846,0,0,0,-7.5,6.88726666666667,31.7873846153846,3.894,80.911,0,6,1,1,5,1,2,3,0,"blank",36.933,0,"Tversky",56.859,0,"Orthogonal",20.992,0,"?",3.894,0,196.257,0,216.979
"6Y93F","111","spring18","lab-synch","Male",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.8723333333333,"control",0.270963350375115,11.1794871794872,-1.01438267614738,0,0,0,0,-11,14.2038,65.556,21.803,129.807,1,12,0,0,0,0,0,0,0,"Orthogonal",102.636,0,"Triangular",129.807,0,"Orthogonal",37.869,0,"Orthogonal",83.324,0,389.831,0,462.397
"76UV0","111","winter22","asynch","Female",20,"English","Second","United States","I tried my best on most questions","2","2","2","","",37.6728,"control",7.57307692307692,3.06425339366516,5.44139194139194,0,0,8,8,4,5.14801666666667,23.7600769230769,10.209,47.317,8,4,0,0,1,0,0,1,0,"Orthogonal",47.317,1,"Triangular",12.695,1,"Triangular",39.17,1,"Triangular",12.037,2,143.857,6,165.024
"776UX","111","fall21","asynch","Female",20,"English","Third","United states","NULL","NULL","NULL","NULL","NULL","NULL",27.4013666666667,"control",-0.702250935339171,10.6166666666667,0.850072721396251,0,0,0,0,-10.5,15.7556166666667,72.7182307692308,19.909,200.762,0,10,1,0,2,1,2,0,0,"Orthogonal",19.909,0,"Orthogonal",200.762,0,"Orthogonal",31.338,0,"Tversky",53.76,0,434.819,0,510.518
"77SKE","111","fall21","asynch","Female",20,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.85675,"control",0.865148332060097,6.76057692307692,0.782320620555915,0,0,2,2,-7.5,7.99233333333333,36.8876923076923,8.24,111.589,2,8,0,0,3,0,3,0,1,"Triangular",54.848,0,"?",52.277,0,"Orthogonal",14.839,0,"Orthogonal",41.574,2,270.031,0,209.509
