"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"DQQQX","won","spring18","111",0,2,2,5,7,12,"1","1","full",599178,834145,352929,246249,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","United States of America","Male",21
"7VQV2","men","spring18","113",5,10,15,0,2,2,"1","1","diagonal",501314,632466,232078,269236,1,"Other","Second","Social Sciences (incl. CogSci)","Iran","Female",19
"ZB1L5","kilo","spring18","113",0,2,2,4,10,14,"1","1","Triangular-XInside-YInside",598477,744947,211573,386904,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",19
"Z5Z7P","alpha","spring18","111",1,2,3,4,9,13,"1","1","Orthogonal-XInside-YFull",703010,982198,270544,432466,1,"English","Fifth","Biomedical & Health Sciences","USSA","Female",23
"XX1TE","fire","spring18","111",0,2,2,5,10,15,"1","1","full",664720,821880,289709,375011,1,"English","Fourth","Social Sciences (incl. CogSci)","United states","Female",21
"E3YN6","men","spring18","113",1,2,3,2,8,10,"1","1","diagonal",670437,880786,196058,474379,1,"English","Second","Social Sciences (incl. CogSci)","United States of America","Female",20
"F3GZE","charlie","spring18","111",2,9,11,0,2,2,"1","1","Orthogonal-XInside-YFull",667169,860194,302206,364963,1,"English","First","Social Sciences (incl. CogSci)","USA","Male",19
"CK5DF","charlie","spring18","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",534793,725627,154614,380179,1,"English","First","Natural Sciences","United States","Female",18
"YKJOR","thine","spring18","111",0,2,2,5,9,14,"1","1","full",356422,510358,110920,245502,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","Canada","Male",21
"4KEEF","men","spring18","113",0,2,2,5,10,15,"1","1","diagonal",533134,716254,259254,273880,1,"English","Second","Biomedical & Health Sciences","USA","Female",19
"WKBNA","charlie","spring18","111",5,8,13,0,1,1,"1","1","Orthogonal-XInside-YFull",565497,852278,150020,415477,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"8U980","men","spring18","113",0,2,2,2,9,11,"1","1","diagonal",506325,692076,109600,396725,1,"Other","First","Humanities","South Korea","Female",18
"8XBVF","bravo","spring18","113",2,9,11,2,1,3,"1","1","diagonal",333272,625204,124274,208998,1,"English","First","Natural Sciences","\n\nUnited States","Male",19
"8FE87","tango","spring18","113",0,2,2,5,7,12,"1","1","Triangular-XInside-YInside",679065,804304,260185,418880,1,"English","First","Biomedical & Health Sciences","USA","Male",19
"FBLXY","bravo","spring18","113",5,10,15,0,2,2,"1","1","diagonal",345071,618174,146523,198548,1,"English","Fourth","Biomedical & Health Sciences","USA","Female",21
"EGP0T","charlie","spring18","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",471004,654089,199406,271598,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","TAIWAN","Female",18
