"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"APAMB","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"APAMB","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",2,1,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",3,2,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",4,3,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",5,4,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",6,5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",7,5,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",8,6,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",9,7,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",10,8,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",11,9,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",12,10,"TRI","isosceles"
"O3FRB","asynch","Tri-Isosceles",13,11,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"1L782","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",5,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",6,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",7,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",8,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",9,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",10,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",11,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",12,1,"TRI","isosceles"
"100LQ","asynch","Tri-Isosceles",13,1,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",4,1,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",5,2,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",6,2,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",7,3,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",8,4,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",9,5,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",10,6,"TRI","isosceles"
